_id,YEAR,SECTION,AIRLINE_CODE,AIRLINE_NAME,SERVICES_DEP,SERVICES_ARR,PASSENGER_EMBARKED,PASSENGER_DISEMBARKED,PASSENGER_TERMINAL,PASSENGER_TRANSIT,PASSENGER_TOTAL,CARGO_LOADED,CARGO_UNLOADED,CARGO_TERMINAL,CARGO_TRANSIT,CARGO_TOTAL,MAIL_LOADED,MAIL_UNLOADED,MAIL_TERMINAL,MAIL_TRANSIT,MAIL_TOTAL
444,2020-2021,International,UAE,EMIRATES,2254,2253,435753,412153,847906,0,847906,42525,13424,55948,0,55948,33,120,153,0,153
445,2020-2021,International,VIR,VIRGIN ATLANTIC,247,247,39009,34448,73457,0,73457,2780,481,3262,0,3262,0,0,0,0,0
446,2021-2022,Domestic,ABQ,AIR BLUE,4019,4019,720524,720524,1441048,0,1441048,1830,1830,3661,0,3661,0,0,0,0,0
447,2021-2022,Domestic,PIA,PAKISTAN INT',12281,12281,1292917,1292917,2585834,9833,2595667,5078,5078,10156,0,10156,89,89,177,0,177
448,2021-2022,Domestic,SEP,SERENE AIR,3465,3465,606612,606612,1213224,0,1213224,5104,5104,10208,0,10208,0,0,0,0,0
449,2021-2022,Domestic,SIF,AIR SIAL,3588,3588,592180,592180,1184360,0,1184360,3589,3589,7177,0,7177,0,0,0,0,0
450,2021-2022,International,ABQ,AIR BLUE,2916,2916,512226,434243,946469,0,946469,521,5,526,0,526,0,0,0,0,0
451,2021-2022,International,ABY,AIR ARABIA,2222,2222,326785,232975,559760,0,559760,5079,41,5121,0,5121,13,0,13,0,13
452,2021-2022,International,ADY,AIR ARABIA ABU,185,185,26178,19218,45396,0,45396,124,0,124,0,124,0,0,0,0,0
453,2021-2022,International,AFG,ARIANA AFGHAN,66,66,1400,957,2357,0,2357,0,0,0,0,0,0,0,0,0,0
454,2021-2022,International,ALK,SRILANKAN,292,292,24898,21789,46687,0,46687,3180,3243,6423,0,6423,0,0,0,0,0
455,2021-2022,International,BAW,BRITISH,260,259,60481,50353,110834,0,110834,2139,225,2364,0,2364,0,0,0,0,0
456,2021-2022,International,CCA,AIR CHINA,99,99,8409,5793,14202,0,14202,181,648,829,0,829,0,0,0,0,0
457,2021-2022,International,CSN,CHINA,66,66,9310,7867,17177,0,17177,0,1119,1119,0,1119,0,0,0,0,0
458,2021-2022,International,DHX,DHL AVIATION,471,471,0,0,0,0,0,20452,2630,23081,0,23081,0,0,0,0,0
459,2021-2022,International,ETD,ETIHAD AIRWAYS,1273,1273,218933,190824,409757,0,409757,11147,4414,15561,0,15561,87,141,228,0,228
460,2021-2022,International,FBA,FLY BAGHDAD,165,165,22088,14611,36699,0,36699,0,0,0,0,0,0,0,0,0,0
461,2021-2022,International,FDB,FLY DUBAI,2939,2939,441868,253334,695202,48,695250,2851,168,3018,0,3018,0,0,0,0,0
462,2021-2022,International,GFA,GULF AIR,1448,1450,217026,148807,365833,0,365833,5510,831,6341,0,6341,0,10,11,0,11
463,2021-2022,International,IAW,IRAQI AIRWAYS,6,6,995,992,1987,0,1987,0,0,0,0,0,0,0,0,0,0
464,2021-2022,International,IRA,IRAN AIR,64,64,8443,7209,15652,0,15652,2,6,8,0,8,0,1,1,0,1
465,2021-2022,International,IRM,MAHAN AIR,32,32,4564,3764,8328,0,8328,194,1,195,0,195,0,0,0,0,0
466,2021-2022,International,JZR,JAZEERA,162,162,13245,12966,26211,0,26211,942,22,964,0,964,0,0,0,0,0
467,2021-2022,International,KAC,KUWAIT AIRWAYS,201,201,32100,29589,61689,0,61689,4936,54,4991,0,4991,0,0,0,0,0
468,2021-2022,International,KMF,KAM AIR,199,199,9128,23253,32381,0,32381,0,0,0,0,0,0,0,0,0,0
469,2021-2022,International,KNE,FLY NAS,340,340,45224,29954,75178,0,75178,588,1,590,0,590,0,0,0,0,0
470,2021-2022,International,MXD,MALINDO AIR,32,32,3296,2884,6180,0,6180,0,0,0,0,0,0,0,0,0,0
471,2021-2022,International,OMA,OMAN AIR,426,426,62630,44695,107325,0,107325,2552,1042,3594,0,3594,0,0,0,0,0
472,2021-2022,International,OMS,SALAM AIR,364,363,55603,35102,90705,0,90705,0,0,0,0,0,0,0,0,0,0
473,2021-2022,International,PGT,PEGASUS,151,151,20386,18727,39113,0,39113,224,104,327,0,327,0,0,0,0,0
